level,client_id,status_code,latency_ms
200,load-test-client-200-117,200,299.86
200,load-test-client-200-84,200,301.00
200,load-test-client-200-110,200,305.13
200,load-test-client-200-97,200,307.42
200,load-test-client-200-100,200,312.67
200,load-test-client-200-96,200,313.84
200,load-test-client-200-124,200,315.55
200,load-test-client-200-123,200,323.51
200,load-test-client-200-108,200,325.22
200,load-test-client-200-137,200,322.75
200,load-test-client-200-120,200,326.19
200,load-test-client-200-88,200,328.32
200,load-test-client-200-76,200,332.05
200,load-test-client-200-131,200,332.10
200,load-test-client-200-87,200,332.74
200,load-test-client-200-125,200,332.74
200,load-test-client-200-85,200,333.96
200,load-test-client-200-199,200,340.58
200,load-test-client-200-197,200,333.67
200,load-test-client-200-102,200,344.82
200,load-test-client-200-151,200,344.45
200,load-test-client-200-57,200,344.98
200,load-test-client-200-86,200,346.26
200,load-test-client-200-79,200,347.94
200,load-test-client-200-190,200,343.14
200,load-test-client-200-111,200,355.51
200,load-test-client-200-196,200,348.12
200,load-test-client-200-138,200,354.75
200,load-test-client-200-130,200,356.44
200,load-test-client-200-75,200,357.65
200,load-test-client-200-42,200,362.51
200,load-test-client-200-80,200,362.51
200,load-test-client-200-89,200,364.16
200,load-test-client-200-41,200,364.16
200,load-test-client-200-191,200,355.09
200,load-test-client-200-128,200,362.57
200,load-test-client-200-65,200,363.66
200,load-test-client-200-39,200,367.01
200,load-test-client-200-67,200,365.18
200,load-test-client-200-133,200,367.01
200,load-test-client-200-43,200,371.64
200,load-test-client-200-50,200,371.53
200,load-test-client-200-134,200,372.01
200,load-test-client-200-132,200,384.60
200,load-test-client-200-139,200,383.95
200,load-test-client-200-141,200,397.79
200,load-test-client-200-192,200,386.23
200,load-test-client-200-68,200,398.44
200,load-test-client-200-135,200,398.44
200,load-test-client-200-129,200,399.10
200,load-test-client-200-24,200,405.48
200,load-test-client-200-136,200,402.51
200,load-test-client-200-78,200,406.99
200,load-test-client-200-142,200,404.02
200,load-test-client-200-143,200,404.02
200,load-test-client-200-66,200,408.69
200,load-test-client-200-71,200,409.97
200,load-test-client-200-69,200,414.88
200,load-test-client-200-34,200,418.25
200,load-test-client-200-121,200,419.92
200,load-test-client-200-70,200,420.90
200,load-test-client-200-58,200,421.41
200,load-test-client-200-140,200,421.74
200,load-test-client-200-185,200,422.69
200,load-test-client-200-187,200,426.09
200,load-test-client-200-119,200,431.59
200,load-test-client-200-55,200,436.31
200,load-test-client-200-152,200,439.51
200,load-test-client-200-149,200,440.11
200,load-test-client-200-153,200,441.47
200,load-test-client-200-54,200,442.95
200,load-test-client-200-158,200,445.46
200,load-test-client-200-160,200,446.17
200,load-test-client-200-154,200,446.17
200,load-test-client-200-177,200,446.50
200,load-test-client-200-157,200,446.50
200,load-test-client-200-180,200,449.57
200,load-test-client-200-155,200,451.27
200,load-test-client-200-183,200,453.90
200,load-test-client-200-179,200,454.55
200,load-test-client-200-176,200,455.10
200,load-test-client-200-182,200,458.92
200,load-test-client-200-181,200,458.92
200,load-test-client-200-184,200,459.94
1000,load-test-client-1000-4,200,17.35
1000,load-test-client-1000-2,200,17.35
1000,load-test-client-1000-26,200,49.77
1000,load-test-client-1000-15,200,20.74
1000,load-test-client-1000-53,200,55.85
1000,load-test-client-1000-55,200,59.48
1000,load-test-client-1000-36,200,65.23
1000,load-test-client-1000-6,200,20.74
1000,load-test-client-1000-5,200,37.70
1000,load-test-client-1000-19,200,71.52
1000,load-test-client-1000-9,200,73.65
1000,load-test-client-1000-31,200,62.64
1000,load-test-client-1000-28,200,81.97
1000,load-test-client-1000-20,200,84.56
1000,load-test-client-1000-64,200,84.58
1000,load-test-client-1000-17,200,85.63
1000,load-test-client-1000-99,200,101.26
1000,load-test-client-1000-38,200,104.60
1000,load-test-client-1000-22,200,105.15
1000,load-test-client-1000-66,200,105.71
1000,load-test-client-1000-40,200,106.13
1000,load-test-client-1000-60,200,106.13
1000,load-test-client-1000-0,200,107.19
1000,load-test-client-1000-3,200,107.19
1000,load-test-client-1000-62,200,106.64
1000,load-test-client-1000-48,200,106.13
1000,load-test-client-1000-79,200,106.64
1000,load-test-client-1000-95,200,103.54
1000,load-test-client-1000-174,200,106.92
1000,load-test-client-1000-224,200,107.61
1000,load-test-client-1000-226,200,106.68
1000,load-test-client-1000-118,200,108.12
1000,load-test-client-1000-65,200,112.77
1000,load-test-client-1000-145,200,123.66
1000,load-test-client-1000-182,200,122.22
1000,load-test-client-1000-30,200,129.24
1000,load-test-client-1000-225,200,123.39
1000,load-test-client-1000-52,200,127.80
1000,load-test-client-1000-832,200,117.84
1000,load-test-client-1000-191,200,122.63
1000,load-test-client-1000-23,200,129.78
1000,load-test-client-1000-35,200,129.78
1000,load-test-client-1000-176,200,123.39
1000,load-test-client-1000-93,200,123.39
1000,load-test-client-1000-254,200,123.39
1000,load-test-client-1000-58,200,129.24
1000,load-test-client-1000-97,200,124.10
1000,load-test-client-1000-120,200,124.10
1000,load-test-client-1000-175,200,125.41
1000,load-test-client-1000-180,200,125.26
1000,load-test-client-1000-10,200,56.40
1000,load-test-client-1000-34,200,134.44
1000,load-test-client-1000-27,200,135.60
